id,network,job_type,image_size,num_imgs,device,batch_size,data_parallelism,response_time
9aba8d27,style2,random,512,400,cuda:0,8,1,21973
e46363ff,anycost,random,512,100,cuda:0,8,1,16957
8df99648,stylemap,random,256,200,cuda:0,8,1,20941
c04d4ba6,mobile,random,512,400,cuda:1,8,1,13919
3f5e7005,swa,random,512,100,cuda:1,8,1,17849
dbce9d34,style2,random,512,100,cuda:0,8,1,11820
37de9b39,mobile,interpolation,256,100,cuda:0,8,1,6805
fa633ea1,swa,interpolation,256,100,cuda:1,8,1,12789
c3043e3c,anycost,interpolation,1024,100,cuda:0,8,1,17754
d42bf6f6,style2,random,1024,100,cuda:0,8,1,14729
18ab48b1,swa,random,512,200,cuda:1,8,1,19717
17a69932,swa,interpolation,1024,100,cuda:0,8,1,11701
55415344,style2,random,256,100,cuda:1,8,1,19669
a99f02f6,style1,interpolation,1024,200,cuda:0,8,1,11645
c3bbf61b,stylemap,random,1024,100,cuda:0,8,1,29628
f650eb95,anycost,interpolation,512,100,cuda:0,8,1,16534
f412c0a1,stylemap,interpolation,1024,100,cuda:0,8,1,36506
7fbfa2d6,mobile,random,1024,100,cuda:0,8,1,48494
0d230e7f,swa,interpolation,512,200,cuda:0,8,1,33468
0de7c3d3,swa,random,512,400,cuda:0,8,1,25438
5ccd3223,style2ada,interpolation,256,100,cuda:0,8,1,18438
ef1435f7,stylemap,random,256,800,cuda:1,8,1,86377
07127f02,style1,random,256,800,cuda:0,8,1,8353
88b37d23,style2,interpolation,512,800,cuda:0,8,1,28336
6f9fad01,style1,random,256,800,cuda:1,8,1,17317
2aaa35e1,mobile,random,1024,800,cuda:1,8,1,71293
01c6f624,style1,interpolation,256,400,cuda:0,8,1,9276
7f5b56c8,stylemap,interpolation,1024,800,cuda:0,8,1,-1
a8e2a7e4,stylemap,interpolation,256,200,cuda:0,8,1,26217
6e7e57c0,style2,interpolation,512,800,cuda:1,8,1,54195
9643116c,swa,random,256,200,cuda:0,8,1,21167
0a140aff,swa,interpolation,256,100,cuda:1,8,1,25143
a4466fcb,swa,random,1024,100,cuda:0,8,1,30033
fc8e259c,stylemap,interpolation,256,800,cuda:0,8,1,84007
a8725b4c,swa,random,1024,100,cuda:0,8,1,82973
f70625c0,stylemap,random,512,800,cuda:0,8,1,235947
9ce0eb3d,stylemap,interpolation,1024,800,cuda:0,8,1,-1
0c651bfe,mobile,interpolation,256,800,cuda:0,8,1,34888
5aa23bd1,style2ada,random,1024,200,cuda:0,8,1,-1
1ac266b2,stylemap,interpolation,1024,200,cuda:0,8,1,124834
c8b04e8a,swa,interpolation,1024,100,cuda:0,8,1,57809
85aca690,anycost,interpolation,1024,400,cuda:1,8,1,39789
1ee4b7d1,swa,random,1024,200,cuda:0,8,1,-1
3743ac20,stylemap,interpolation,1024,800,cuda:0,8,1,-1
cf059486,style1,interpolation,1024,200,cuda:0,8,1,-1
30f9d520,style2,interpolation,256,200,cuda:0,8,1,105712
67572b49,mobile,random,1024,800,cuda:0,8,1,-1
791575b8,mobile,random,256,200,cuda:0,8,1,20672
ca23d92d,style2,random,512,200,cuda:0,8,1,-1
22e074fc,style1,interpolation,512,200,cuda:1,8,1,12621
0a5dbc23,swa,interpolation,512,800,cuda:0,8,1,-1
46acb4d3,style2,random,512,100,cuda:1,8,1,29571
ce48837b,style2,random,1024,100,cuda:0,8,1,-1
ffc6cbf4,stylemap,random,256,400,cuda:1,8,1,49523
5d3b6ae9,mobile,interpolation,1024,400,cuda:0,8,1,-1
e6486b1c,anycost,random,256,100,cuda:1,8,1,29365
5d1583c2,style2,random,1024,100,cuda:0,8,1,40352
07594b6f,style1,interpolation,1024,400,cuda:0,8,1,-1
b1dd73cd,style1,random,1024,400,cuda:0,8,1,-1
335bb467,stylemap,random,512,400,cuda:0,8,1,-1




