schedule,lambda,stat,num
improved,10,completed,58
improved,10,evicted,0
improved,10,restarts,0
improved,10,completed,60
improved,10,evicted,0
improved,10,restarts,3
improved,10,completed,52
improved,10,evicted,0
improved,10,restarts,32
improved,10,completed,52
improved,10,evicted,0
improved,10,restarts,3
improved,10,completed,51
improved,10,evicted,0
improved,10,restarts,5
improved,3,completed,72
improved,3,evicted,0
improved,3,restarts,88
improved,3,completed,80
improved,3,evicted,0
improved,3,restarts,86
improved,4,completed,72
improved,4,evicted,0
improved,4,restarts,65
improved,4,completed,71
improved,4,evicted,0
improved,4,restarts,78
improved,4,completed,73
improved,4,evicted,0
improved,4,restarts,90
improved,4,completed,61
improved,4,evicted,0
improved,4,restarts,59
improved,4,completed,81
improved,4,evicted,0
improved,4,restarts,75
improved,5,completed,89
improved,5,evicted,0
improved,5,restarts,62
improved,5,completed,81
improved,5,evicted,0
improved,5,restarts,36
improved,5,completed,61
improved,5,evicted,0
improved,5,restarts,81
improved,5,completed,45
improved,5,evicted,1
improved,5,restarts,46
improved,5,completed,78
improved,5,evicted,0
improved,5,restarts,60
improved,test,lambda_results/improved_test,
improved2,test/improved2,completed,89
improved4,test/improved4,completed,81
improved3,test/improved3,completed,93
improved,test/improved,completed,72
random,10,completed,60
random,10,evicted,0
random,10,restarts,17
random,10,completed,46
random,10,evicted,0
random,10,restarts,53
random,10,completed,58
random,10,evicted,0
random,10,restarts,0
random,10,completed,59
random,10,evicted,0
random,10,restarts,13
random,10,completed,55
random,10,evicted,0
random,10,restarts,13
random,15,completed,40
random,15,evicted,0
random,15,restarts,6
random,15,completed,40
random,15,evicted,0
random,15,restarts,1
random,15,completed,40
random,15,evicted,0
random,15,restarts,5
random,15,completed,39
random,15,evicted,0
random,15,restarts,4
random,15,completed,40
random,15,evicted,0
random,15,restarts,0
random,3,completed,39
random,3,evicted,0
random,3,restarts,226
random,3,completed,45
random,3,evicted,4
random,3,restarts,321
random,3,completed,45
random,3,evicted,5
random,3,restarts,371
random,3,completed,46
random,3,evicted,0
random,3,restarts,432
random,3,completed,46
random,3,evicted,12
random,3,restarts,539
random,4,completed,90
random,4,evicted,0
random,4,restarts,228
random,4,completed,54
random,4,evicted,0
random,4,restarts,274
random,5,completed,84
random,5,evicted,0
random,5,restarts,175
random,5,completed,84
random,5,evicted,0
random,5,restarts,188
random,5,completed,100
random,5,evicted,0
random,5,restarts,102
random,5,completed,82
random,5,evicted,0
random,5,restarts,157
random,5,completed,84
random,5,evicted,0
random,5,restarts,136
vram-aware,10,completed,51
vram-aware,10,evicted,0
vram-aware,10,restarts,1
vram-aware,10,completed,58
vram-aware,10,evicted,0
vram-aware,10,restarts,0
vram-aware,10,completed,55
vram-aware,10,evicted,0
vram-aware,10,restarts,0
vram-aware,10,completed,57
vram-aware,10,evicted,0
vram-aware,10,restarts,4
vram-aware,10,completed,46
vram-aware,10,evicted,0
vram-aware,10,restarts,4
vram-aware,15,completed,41
vram-aware,15,evicted,0
vram-aware,15,restarts,0
vram-aware,15,completed,41
vram-aware,15,evicted,0
vram-aware,15,restarts,0
vram-aware,15,completed,38
vram-aware,15,evicted,0
vram-aware,15,restarts,2
vram-aware,15,completed,40
vram-aware,15,evicted,0
vram-aware,15,restarts,0
vram-aware,15,completed,40
vram-aware,15,evicted,0
vram-aware,15,restarts,0
vram-aware,3,completed,101
vram-aware,3,evicted,0
vram-aware,3,restarts,209
vram-aware,3,completed,0
vram-aware,3,evicted,0
vram-aware,3,restarts,
vram-aware,3,completed,88
vram-aware,3,evicted,0
vram-aware,3,restarts,196
vram-aware,3,completed,0
vram-aware,3,evicted,0
vram-aware,3,restarts,
vram-aware,3,completed,80
vram-aware,3,evicted,1
vram-aware,3,restarts,282
vram-aware,4,completed,77
vram-aware,4,evicted,0
vram-aware,4,restarts,133
vram-aware,4,completed,112
vram-aware,4,evicted,0
vram-aware,4,restarts,156
vram-aware,4,completed,110
vram-aware,4,evicted,0
vram-aware,4,restarts,83
vram-aware,4,completed,91
vram-aware,4,evicted,0
vram-aware,4,restarts,135
vram-aware,5,completed,86
vram-aware,5,evicted,0
vram-aware,5,restarts,48
vram-aware,5,completed,75
vram-aware,5,evicted,0
vram-aware,5,restarts,59
vram-aware,5,completed,81
vram-aware,5,evicted,0
vram-aware,5,restarts,72
vram-aware,5,completed,87
vram-aware,5,evicted,0
vram-aware,5,restarts,44
vram-aware,5,completed,110
vram-aware,5,evicted,0
vram-aware,5,restarts,22
